date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:59:56	5180/5180	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2022%20Nov%202019%2019:00:05%20GMT	http://results.o2cm.com/robots.txt		(from )
13:59:57	8050/8050	U-----	200	untouched ('OK')	text/html	date:Fri,%2022%20Nov%202019%2018:44:33%20GMT	http://results.o2cm.com/individual.asp?szLast=lin&szFirst=austin	C:/Users/happy/Dropbox/15112/TP/TP2/tp/results.o2cm.com/individualc0ff.html	(from )
13:59:57	7104/7104	U-----	200	untouched ('OK')	text/html	date:Fri,%2022%20Nov%202019%2018:44:33%20GMT	http://results.o2cm.com/scoresheet3.asp?event=upc19&heatid=40422048	C:/Users/happy/Dropbox/15112/TP/TP2/tp/results.o2cm.com/scoresheet3ca86.html	(from http://results.o2cm.com/individual.asp?szLast=lin&szFirst=austin)
13:59:57	5680/5680	U-----	200	untouched ('OK')	text/css	etag:%22574c5c8f4d4d21:0%22	http://results.o2cm.com/compdb.css	C:/Users/happy/Dropbox/15112/TP/TP2/tp/results.o2cm.com/compdb.css	(from http://results.o2cm.com/individual.asp?szLast=lin&szFirst=austin)
13:59:57	7059/7059	U-----	200	untouched ('OK')	text/html	date:Fri,%2022%20Nov%202019%2018:44:34%20GMT	http://results.o2cm.com/scoresheet3.asp?event=upc19&heatid=40423E1A	C:/Users/happy/Dropbox/15112/TP/TP2/tp/results.o2cm.com/scoresheet336c0.html	(from http://results.o2cm.com/individual.asp?szLast=lin&szFirst=austin)
13:59:57	7700/7700	U-----	200	untouched ('OK')	text/html	date:Fri,%2022%20Nov%202019%2018:44:34%20GMT	http://results.o2cm.com/scoresheet3.asp?event=upc19&heatid=40422038	C:/Users/happy/Dropbox/15112/TP/TP2/tp/results.o2cm.com/scoresheet3e02f.html	(from http://results.o2cm.com/individual.asp?szLast=lin&szFirst=austin)
13:59:58	7669/7669	U-----	200	untouched ('OK')	text/html	date:Fri,%2022%20Nov%202019%2018:44:34%20GMT	http://results.o2cm.com/scoresheet3.asp?event=upc19&heatid=40422039	C:/Users/happy/Dropbox/15112/TP/TP2/tp/results.o2cm.com/scoresheet38335.html	(from http://results.o2cm.com/individual.asp?szLast=lin&szFirst=austin)
13:59:58	8335/8335	U-----	200	untouched ('OK')	text/html	date:Fri,%2022%20Nov%202019%2018:44:34%20GMT	http://results.o2cm.com/scoresheet3.asp?event=upc19&heatid=4042203A	C:/Users/happy/Dropbox/15112/TP/TP2/tp/results.o2cm.com/scoresheet3a573.html	(from http://results.o2cm.com/individual.asp?szLast=lin&szFirst=austin)
13:59:58	5190/5190	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2022%20Nov%202019%2019:00:07%20GMT	http://results.o2cm.com/images/bkgd.gif	C:/Users/happy/Dropbox/15112/TP/TP2/tp/results.o2cm.com/images/bkgd.27.delayed	(from http://results.o2cm.com/scoresheet3.asp?event=upc19&heatid=40422048)
13:59:58	7148/7148	U-----	200	untouched ('OK')	text/html	date:Fri,%2022%20Nov%202019%2018:44:35%20GMT	http://results.o2cm.com/scoresheet3.asp?event=upc19&heatid=40422848	C:/Users/happy/Dropbox/15112/TP/TP2/tp/results.o2cm.com/scoresheet3695c.html	(from http://results.o2cm.com/individual.asp?szLast=lin&szFirst=austin)
